city,state_name,income,lat,lng
Capitol-Heights,Maryland,72063,38.8766,-76.9074
Indian-Hills,Nevada,71920,39.0894,-119.7977
Desoto-Lakes,Florida,75826,27.373,-82.4968
French-Camp,Mississippi,51423,33.2931,-89.3993
Newcastle,Texas,31988,33.1951,-98.7436
Fairland,Oklahoma,41615,36.7506,-94.8483
Townsend,Tennessee,52629,35.6763,-83.7528
Rogersville,Tennessee,41213,36.4081,-83.0043
South-Miami,Florida,66689,25.7079,-80.2952
LaBelle,Florida,56151,26.7219,-81.4506
Norris,South-Carolina,53580,34.7661,-82.7525
Marceline,Missouri,41861,39.7167,-92.9473
Granite,Utah,109426,40.5711,-111.7959
Greers-Ferry,Arkansas,46896,35.5674,-92.1688
Bruno,West-Virginia,37824,37.688,-81.8737
Yogaville,Virginia,50501,37.6654,-78.6946
Bulls-Gap,Tennessee,44317,36.2616,-83.0788
Elgin,Kansas,32556,37.0019,-96.2806
Falconaire,Texas,31448,26.5511,-99.1169
Mapleville,Maryland,59140,39.5357,-77.6463
Powell,Alabama,48169,34.5325,-85.8979
Luxora,Arkansas,23615,35.7576,-89.9298
Walnut-Grove,Mississippi,30607,32.5932,-89.4578
Centertown,Tennessee,55427,35.7251,-85.9197
Dyersburg,Tennessee,40606,36.0465,-89.3777
Green-River,Utah,56375,38.9935,-110.1723
Church-Hill,Tennessee,48399,36.5204,-82.715
McDougal,Arkansas,18801,36.4365,-90.3907
Aberdeen,Mississippi,40848,33.8287,-88.5539
Belle-Chasse,Louisiana,68814,29.8472,-90.0069
North-Kansas-City,Missouri,41873,39.1396,-94.5643
Somerset,Maryland,200000,38.9666,-77.0963
Benson,Utah,62283,41.7489,-111.9169
Marmet,West-Virginia,40449,38.2458,-81.5711
Autaugaville,Alabama,32921,32.432,-86.6579
Spanish-Fort,Alabama,81207,30.7257,-87.8601
Gate-City,Virginia,35258,36.6401,-82.5782
University-Park,New-Mexico,16172,32.2767,-106.7462
Ute-Park,New-Mexico,37901,36.5467,-105.1038
Ludowici,Georgia,57236,31.7096,-81.7457
Norco,Louisiana,70485,29.9986,-90.4036
Alamo,Nevada,83133,37.3648,-115.163
Dover-Base-Housing,Delaware,41867,39.1179,-75.4838
Humboldt-River-Ranch,Nevada,52926,40.4556,-118.2676
Goodyear,Arizona,85147,33.2613,-112.3622
Columbus,Kansas,36871,37.1714,-94.8442
Potter-Valley,California,51744,39.319,-123.1123
Ayden,North-Carolina,43812,35.4694,-77.4167
Bokeelia,Florida,50387,26.68,-82.1409
Troy,Tennessee,41947,36.3419,-89.1583
Saluda,North-Carolina,50292,35.2375,-82.3469
Bow-Mar,Colorado,200000,39.6253,-105.0511
Pomona,Missouri,39704,36.8671,-91.9134
Vanceboro,North-Carolina,28829,35.303,-77.1567
Massac,Kentucky,33127,37.0335,-88.6859
Manchaca,Texas,80726,30.1353,-97.8362
Cape-Charles,Virginia,56288,37.257,-76.0093
Laurens,South-Carolina,44420,34.5022,-82.0207
Troy,South-Carolina,70934,33.9881,-82.2975
Latimer,Kansas,39436,38.7386,-96.8459
Topaz-Lake,Nevada,43935,38.6976,-119.5427
Newark,Delaware,60360,39.6776,-75.7573
Sweetwater,Texas,42999,32.4693,-100.4092
Thayer,Kansas,47531,37.4851,-95.4845
Alcoa,Tennessee,50994,35.8073,-83.9752
Hackberry,Louisiana,43494,29.9717,-93.3947
Boutte,Louisiana,56848,29.8825,-90.3936
Georgetown,Maryland,59934,39.2194,-76.1971
Natural-Bridge,Alabama,15300,34.0904,-87.6014
Jacumba,California,83985,32.6278,-116.1826
Plaucheville,Louisiana,32521,30.9647,-91.9837
Ackerman,Mississippi,30924,33.311,-89.1711
Tucson-Estates,Arizona,51104,32.1792,-111.1254
Highland-Beach,Maryland,131077,38.9312,-76.466
Meadowbrook,Virginia,81297,37.4301,-77.474
Aspen-Park,Colorado,102171,39.5423,-105.2968
Loma-Mar,California,138500,37.2658,-122.3007
Greenwood,Delaware,51946,38.8066,-75.5897
Little-Orleans,Maryland,48867,39.6308,-78.3921
Mackville,Kentucky,46518,37.7355,-85.0701
Brandywine,Maryland,148504,38.6963,-76.8846
Little-Creek,Delaware,36238,39.1664,-75.4483
Savage,Maryland,121618,39.1485,-76.8228
Fayette,Mississippi,20641,31.7123,-91.062
Lake-Magdalene,Florida,65709,28.0875,-82.4791
Maynard,Arkansas,28605,36.4214,-90.9018
Elliston,Virginia,60045,37.2163,-80.2245
Somerset,Maryland,200000,38.9666,-77.0963
Rising-Sun-Lebanon,Delaware,68821,39.0999,-75.5047
Tyaskin,Maryland,54402,38.3193,-75.8738
Fort-Lawn,South-Carolina,40626,34.7003,-80.8991
Greer,Arizona,30480,34.0054,-109.4611
Ardencroft,Delaware,100714,39.8056,-75.4862
Walnut-Grove,California,61774,38.2478,-121.528
Dragoon,Arizona,48484,32.0263,-110.0365
Mountain-City,Texas,127426,30.0392,-97.8915
Smithfield,Virginia,69642,36.9754,-76.6162
Lewis,Kansas,42694,37.937,-99.2547
Fordsville,Kentucky,34759,37.6356,-86.7171
Hornsby,Tennessee,36642,35.2285,-88.8294
